Report generated on: 09-09-2022 22:28:53
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-AUS-MT.A","    Production (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.267811115837944","78.15759885809648","113.1903020126611","160.31045173612745","234.1342394626453","290.79793","329.800642","372.83635400000003","340.569599","335.867692","310.497853","232","154","187","212.488389"
"INTL.80-1-AUS-MT.A","        Fuel ethanol (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.267811115837944","59.37038612647331","63.937338905432796","114.48662445884737","159.75972635819923","216.423359","251.051097","273.08693","240.820175","204.618449","196.748509","178","150","186","212.488389"
"INTL.81-1-AUS-MT.A","        Biomass-based diesel (Mmt)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","18.78721273162317","49.25296310722831","45.82382727728006","74.37451310444605","74.374571","78.749545","99.749424","99.749424","131.249243","113.749344","54","4","1","0"
"INTL.79-2-AUS-MT.A","    Consumption (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.267811115837944","76.63722111669752","113.1903020126611","166.4202953730981","253.99007004173401","323.856694","380.794295","369.0824","403.496277","643.777915","441.659095","232","154","187","212.488389"
"INTL.80-2-AUS-MT.A","        Fuel ethanol (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.267811115837944","54.803433347513824","63.937338905432796","114.48662445884737","169.99061397362428","241.607169","280.169876","259.708031","217.997347","205.405443","197.535503","178","150","186","212.488389"
"INTL.81-2-AUS-MT.A","        Biomass-based diesel (Mmt)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","21.833787769183687","49.25296310722831","51.93367091425074","83.99945606810974","82.249525","100.624419","109.374369","185.49893","438.372472","244.123592","54","4","1","0"
"","Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-AUT-MT.A","    Production (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.34783818374047","21.3260252629236","22.849312781703855","23.35707528796394","24.4393745478827","26.911412831784542","131.00272661510212","271.64421151700196","317.66810288186343","400.80279283886426","432.127727843816","405.04817069505646","284.916226","272.023513","448.041182","508.61988","512","458.309","426.299","448.921363"
"INTL.80-1-AUT-MT.A","        Fuel ethanol (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.700858336878456","68.69197467530843","105.09846225069442","124.9268924701584","130.43979817822378","113.249228","104.125356","204.42135","195.264179","212","211.121","194.685","186.506594"
